Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales_stage1	Nmales_stage1	Nfemales_stage2	Nmales_stage2	NJuvFemales	NJuvMales
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	30	1919	0	191	54	42	54	41	47	52
0	1	0	0	0	0	0	0	0	0	0	0	0
0	1	0	26	401	0	4	0	4	0	0	0	0
0	1	0	30	1919	0	159	18	14	69	58	77	61
0	2	0	0	0	0	0	0	0	0	0	0	0
0	2	0	26	401	0	5	2	2	0	1	0	0
0	2	0	30	1919	0	154	28	20	61	45	67	58
0	3	0	0	0	0	0	0	0	0	0	0	0
0	3	0	26	401	0	6	1	0	2	3	5	4
0	3	0	30	1919	0	150	22	14	62	52	74	79
0	4	0	0	0	0	0	0	0	0	0	0	0
0	4	0	26	401	0	12	3	6	1	2	2	0
0	4	0	30	1919	0	154	15	19	64	56	67	78
0	4	0	32	154	0	1	0	1	0	0	0	0
0	5	0	0	0	0	0	0	0	0	0	0	0
0	5	0	26	401	0	12	3	1	2	6	6	3
0	5	0	30	1919	0	156	18	21	62	55	62	84
0	5	0	32	154	0	1	0	1	0	0	0	0
0	6	0	0	0	0	0	0	0	0	0	0	0
0	6	0	26	401	0	16	2	4	4	6	3	5
0	6	0	30	1919	0	150	18	20	58	54	78	68
0	6	0	32	154	0	1	0	0	0	1	0	0
0	7	0	0	0	0	0	0	0	0	0	0	0
0	7	0	26	401	0	22	5	3	6	8	6	10
0	7	0	30	1919	0	147	17	22	54	54	71	59
0	7	0	32	154	0	0	0	0	0	0	0	0
0	8	0	0	0	0	0	0	0	0	0	0	0
0	8	0	26	401	0	23	2	5	7	9	14	10
0	8	0	30	1919	0	145	17	19	50	59	58	77
0	8	0	32	154	0	0	0	0	0	0	0	0
0	9	0	0	0	0	0	0	0	0	0	0	0
0	9	0	26	401	0	25	4	3	7	11	13	6
0	9	0	30	1919	0	151	14	26	47	64	51	53
0	9	0	32	154	0	0	0	0	0	0	0	0
0	10	0	0	0	0	0	0	0	0	0	0	0
0	10	0	26	401	0	28	3	3	10	12	8	21
0	10	0	30	1919	0	138	13	13	46	66	57	48
0	10	0	32	154	0	0	0	0	0	0	0	0
0	11	0	0	0	0	0	0	0	0	0	0	0
0	11	0	26	401	0	31	2	7	10	12	15	11
0	11	0	30	1919	0	135	16	15	47	57	65	60
0	11	0	32	154	0	0	0	0	0	0	0	0
0	12	0	0	0	0	0	0	0	0	0	0	0
0	12	0	26	401	0	31	4	6	10	11	7	12
0	12	0	27	280	0	3	2	1	0	0	0	0
0	12	0	30	1919	0	134	13	13	51	57	72	60
0	12	0	32	154	0	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0	0
0	13	0	26	401	0	30	4	4	11	11	14	15
0	13	0	27	280	0	3	0	0	2	1	5	5
0	13	0	30	1919	0	140	25	14	40	61	50	43
0	13	0	32	154	0	0	0	0	0	0	0	0
0	14	0	0	0	0	0	0	0	0	0	0	0
0	14	0	26	401	0	29	2	6	12	9	12	10
0	14	0	27	280	0	8	2	3	2	1	2	6
0	14	0	30	1919	0	134	23	11	47	53	58	56
0	14	0	32	154	0	0	0	0	0	0	0	0
0	15	0	0	0	0	0	0	0	0	0	0	0
0	15	0	26	401	0	23	2	2	9	10	6	17
0	15	0	27	280	0	12	3	3	3	3	6	6
0	15	0	30	1919	0	130	18	11	50	51	65	69
0	15	0	32	154	0	0	0	0	0	0	0	0
0	16	0	0	0	0	0	0	0	0	0	0	0
0	16	0	26	401	0	27	3	5	9	10	13	9
0	16	0	27	280	0	13	2	3	5	3	10	9
0	16	0	30	1919	0	152	25	26	52	49	60	67
0	16	0	32	154	0	0	0	0	0	0	0	0
0	17	0	0	0	0	0	0	0	0	0	0	0
0	17	0	26	401	0	32	6	5	9	12	10	12
0	17	0	27	280	0	17	5	3	5	4	8	4
0	17	0	30	1919	0	156	15	30	58	53	79	43
0	17	0	32	154	0	0	0	0	0	0	0	0
0	18	0	0	0	0	0	0	0	0	0	0	0
0	18	0	26	401	0	33	5	3	11	14	16	16
0	18	0	27	280	0	18	3	2	8	5	7	10
0	18	0	30	1919	0	161	22	19	55	65	51	61
0	18	0	32	154	0	1	0	1	0	0	0	0
0	19	0	0	0	0	0	0	0	0	0	0	0
0	19	0	26	401	0	36	3	3	15	15	19	24
0	19	0	27	280	0	24	8	2	7	7	7	6
0	19	0	30	1919	0	152	13	14	57	68	65	61
0	19	0	32	154	0	1	0	0	0	1	0	0
0	20	0	0	0	0	0	0	0	0	0	0	0
0	20	0	24	1141	0	2	0	2	0	0	0	0
0	20	0	26	401	0	45	6	11	12	16	8	9
0	20	0	27	280	0	24	3	1	12	8	10	11
0	20	0	30	1919	0	163	20	23	54	66	59	38
0	20	0	32	154	0	2	1	0	0	1	0	0
0	21	0	0	0	0	0	0	0	0	0	0	0
0	21	0	24	1141	0	2	0	1	0	1	0	0
0	21	0	26	401	0	47	5	2	16	24	15	9
0	21	0	27	280	0	26	4	5	12	5	10	11
0	21	0	30	1919	0	155	17	20	50	68	64	46
0	21	0	32	154	0	1	0	0	0	1	0	0
0	22	0	0	0	0	0	0	0	0	0	0	0
0	22	0	24	1141	0	5	2	1	0	2	0	0
0	22	0	26	401	0	46	5	5	16	20	13	8
0	22	0	27	280	0	28	4	2	13	9	15	11
0	22	0	30	1919	0	152	16	16	50	70	73	62
0	22	0	32	154	0	1	0	0	0	1	0	0
0	23	0	0	0	0	0	0	0	0	0	0	0
0	23	0	24	1141	0	5	0	2	1	2	2	1
0	23	0	26	401	0	41	6	1	15	19	13	13
0	23	0	27	280	0	23	5	1	7	10	6	7
0	23	0	30	1919	0	160	27	14	50	69	61	44
0	23	0	32	154	0	0	0	0	0	0	0	0
0	24	0	0	0	0	0	0	0	0	0	0	0
0	24	0	24	1141	0	6	2	1	0	3	0	0
0	24	0	26	401	0	39	4	1	18	16	16	16
0	24	0	27	280	0	21	2	3	10	6	11	6
0	24	0	30	1919	0	163	25	10	66	62	77	83
0	24	0	32	154	0	0	0	0	0	0	0	0
0	25	0	0	0	0	0	0	0	0	0	0	0
0	25	0	24	1141	0	5	1	1	1	2	3	4
0	25	0	26	401	0	38	5	3	17	13	17	17
0	25	0	27	280	0	22	3	3	9	7	9	12
0	25	0	30	1919	0	178	21	32	69	56	66	67
0	25	0	32	154	0	0	0	0	0	0	0	0
0	26	0	0	0	0	0	0	0	0	0	0	0
0	26	0	24	1141	0	10	1	4	2	3	10	5
0	26	0	26	401	0	39	4	9	15	11	13	11
0	26	0	27	280	0	29	7	3	9	10	7	6
0	26	0	30	1919	0	181	27	22	68	64	64	67
0	26	0	32	154	0	0	0	0	0	0	0	0
0	27	0	0	0	0	0	0	0	0	0	0	0
0	27	0	24	1141	0	18	6	6	3	3	8	7
0	27	0	26	401	0	33	4	2	12	15	11	11
0	27	0	27	280	0	27	3	2	14	8	7	12
0	27	0	30	1919	0	160	17	18	64	61	73	72
0	27	0	32	154	0	0	0	0	0	0	0	0
0	28	0	0	0	0	0	0	0	0	0	0	0
0	28	0	24	1141	0	20	5	4	6	5	12	12
0	28	0	26	401	0	33	1	6	10	16	11	9
0	28	0	27	280	0	25	2	4	13	6	15	9
0	28	0	30	1919	0	164	24	21	58	61	71	59
0	28	0	32	154	0	0	0	0	0	0	0	0
0	29	0	0	0	0	0	0	0	0	0	0	0
0	29	0	24	1141	0	29	6	8	10	5	24	13
0	29	0	26	401	0	38	5	5	10	18	12	7
0	29	0	27	280	0	29	6	3	13	7	8	10
0	29	0	30	1919	0	163	23	19	55	66	48	50
0	29	0	32	154	0	0	0	0	0	0	0	0
0	30	0	0	0	0	0	0	0	0	0	0	0
0	30	0	24	1141	0	43	17	8	8	10	14	14
