Year	Mean_OccupSuit	Std_error
0	0.02	2.78865e-06
1	0.02	2.78865e-06
2	0.02	2.78865e-06
3	0.03	0.01
4	0.03	0.01
5	0.04	0.02
6	0.04	0.02
7	0.04	5.57729e-06
8	0.04	5.57729e-06
9	0.05	0.01
10	0.05	0.01
11	0.05	0.01
12	0.05	0.01
13	0.05	0.01
14	0.05	0.01
15	0.05	0.01
16	0.06	0.02
17	0.06	0.02
18	0.07	0.01
19	0.07	0.01
20	0.07	0.01
21	0.07	0.01
22	0.09	0.01
23	0.09	0.01
24	0.09	0.01
25	0.1	0.02
26	0.11	0.03
27	0.11	0.03
28	0.11	0.01
29	0.12	0.02
30	0.12	0.02
31	0.13	0.03
32	0.13	0.03
33	0.13	0.03
34	0.13	0.03
35	0.12	0.02
36	0.12	0.02
37	0.13	0.03
38	0.13	0.03
39	0.13	0.03
40	0.13	0.03
41	0.13	0.03
42	0.14	0.02
43	0.14	0.02
44	0.14	0.02
45	0.14	0.02
46	0.14	0.02
47	0.15	0.03
48	0.15	0.03
49	0.15	0.03
50	0.15	0.03
51	0.15	0.03
52	0.16	0.02
53	0.16	0.02
54	0.16	0.02
55	0.16	0.02
56	0.16	0.02
57	0.16	0.02
58	0.16	0.02
59	0.16	0.02
60	0.16	0.02
61	0.16	0.02
62	0.16	0.02
63	0.16	0.02
64	0.16	0.02
65	0.16	0.02
66	0.16	0.02
67	0.17	0.03
68	0.19	0.01
69	0.19	0.01
70	0.19	0.01
71	0.19	0.01
72	0.19	0.01
73	0.2	4.04861e-05
74	0.21	0.01
75	0.21	0.01
76	0.21	0.01
77	0.21	0.01
78	0.21	0.01
79	0.21	0.01
80	0.21	0.01
81	0.21	0.01
82	0.21	0.01
83	0.21	0.01
84	0.22	1.61945e-05
85	0.22	1.61945e-05
86	0.22	1.61945e-05
87	0.21	0.01
88	0.22	1.61945e-05
89	0.22	1.61945e-05
90	0.22	1.61945e-05
91	0.23	0.01
92	0.23	0.01
93	0.23	0.01
94	0.23	0.01
95	0.23	0.01
96	0.23	0.01
97	0.23	0.01
98	0.23	0.01
99	0.23	0.01
100	0.23	0.01
