Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	191	96	95	75	1	0.02	258902	259982	274403	275813
0	1	0	179	38	141	131	1	0.02	258902	259982	274403	275813
0	2	0	168	33	135	121	1	0.02	258902	259982	274403	275813
0	3	0	170	30	140	141	1	0.02	258902	259982	274403	275813
0	4	0	181	44	137	122	1	0.02	258902	259982	274403	275813
0	5	0	167	33	134	143	1	0.02	258902	259982	274403	275813
0	6	0	183	52	131	129	1	0.02	258902	259982	274403	275813
0	7	0	181	40	141	159	2	0.04	258902	259982	274403	276273
0	8	0	190	49	141	138	2	0.04	258902	259982	274403	276273
0	9	0	178	40	138	153	3	0.06	258902	260652	274403	276273
0	10	0	189	43	146	143	2	0.04	258902	259982	274403	276273
0	11	0	190	42	148	131	2	0.04	258902	259982	274403	276273
0	12	0	172	40	132	107	2	0.04	258902	259982	274403	276273
0	13	0	166	29	137	128	2	0.04	258902	259982	274403	276273
0	14	0	158	29	129	116	2	0.04	258902	259982	274403	276273
0	15	0	168	37	131	104	2	0.04	258902	259982	274403	276273
0	16	0	158	28	130	144	2	0.04	258902	259982	274403	276273
0	17	0	172	47	125	113	2	0.04	258902	259982	274403	276273
0	18	0	167	32	135	149	3	0.06	258902	260652	274403	276273
0	19	0	178	53	125	162	3	0.06	258902	260652	274403	276273
0	20	0	197	56	141	160	3	0.06	258902	260652	274403	276273
0	21	0	202	57	145	166	3	0.06	258902	260652	274403	276273
0	22	0	218	58	160	170	4	0.08	258902	260652	274403	276273
0	23	0	222	57	165	161	4	0.08	258902	260652	274403	276273
0	24	0	221	47	174	164	4	0.08	258902	260652	274403	276273
0	25	0	234	55	179	163	4	0.08	258902	260652	274403	276273
0	26	0	225	50	175	194	4	0.08	258902	260652	274403	276273
0	27	0	226	46	180	190	4	0.08	258902	260652	274403	276273
0	28	0	233	51	182	205	5	0.1	258902	261112	274403	276713
0	29	0	259	70	189	168	5	0.1	258902	261112	274403	276713
0	30	0	253	60	193	207	5	0.1	258902	261112	274403	276713
0	31	0	271	75	196	203	5	0.1	258902	261112	274403	276713
0	32	0	273	79	194	229	5	0.1	258902	261112	274403	276713
0	33	0	294	85	209	217	5	0.1	258902	261112	274403	276713
0	34	0	298	72	226	271	5	0.1	258902	261112	274403	276713
0	35	0	323	102	221	227	5	0.1	258902	261112	274403	276713
0	36	0	335	82	253	261	5	0.1	258902	261112	274403	276713
0	37	0	355	88	267	258	5	0.1	258902	261112	274403	276713
0	38	0	367	94	273	280	5	0.1	258902	261112	274403	276713
0	39	0	377	105	272	276	5	0.1	258902	261112	274403	276713
0	40	0	387	88	299	309	5	0.1	258902	261112	274403	276713
0	41	0	415	113	302	257	5	0.1	258902	261112	274403	276713
0	42	0	399	84	315	282	6	0.12	258902	261112	274403	276753
0	43	0	417	107	310	298	6	0.12	258902	261112	274403	276753
0	44	0	405	105	300	283	6	0.12	258902	261112	274403	276753
0	45	0	394	89	305	295	6	0.12	258902	261112	274403	276753
0	46	0	385	88	297	330	6	0.12	258902	261112	274403	276753
0	47	0	416	117	299	295	6	0.12	258902	261112	274403	276753
0	48	0	407	102	305	311	6	0.12	258902	261112	274403	276753
0	49	0	398	105	293	268	6	0.12	258902	261112	274403	276753
0	50	0	392	91	301	302	6	0.12	258902	261112	274403	276753
0	51	0	409	100	309	269	6	0.12	258902	261112	274403	276753
0	52	0	388	87	301	304	7	0.14	258902	261112	274403	277793
0	53	0	390	78	312	312	7	0.14	258902	261112	274403	277793
0	54	0	394	90	304	278	7	0.14	258902	261112	274403	277793
0	55	0	387	94	293	268	7	0.14	258902	261112	274403	277793
0	56	0	384	95	289	299	7	0.14	258902	261112	274403	277793
0	57	0	397	105	292	284	7	0.14	258902	261112	274403	277793
0	58	0	410	105	305	306	7	0.14	258902	261112	274403	277793
0	59	0	412	107	305	295	7	0.14	258902	261112	274403	277793
0	60	0	411	100	311	296	7	0.14	258902	261112	274403	277793
0	61	0	425	106	319	287	7	0.14	258902	261112	274403	277793
0	62	0	398	102	296	249	7	0.14	258902	261112	274403	277793
0	63	0	384	92	292	287	7	0.14	258902	261112	274403	277793
0	64	0	381	83	298	315	7	0.14	258902	261112	274403	277793
0	65	0	404	114	290	271	7	0.14	258902	261112	274403	277793
0	66	0	404	101	303	307	7	0.14	258902	261112	274403	277793
0	67	0	408	97	311	284	7	0.14	258902	261112	274403	277793
0	68	0	412	108	304	306	9	0.18	258902	262092	274403	277793
0	69	0	421	108	313	292	9	0.18	258902	262092	274403	277793
0	70	0	414	94	320	312	9	0.18	258902	262092	274403	277793
0	71	0	417	107	310	311	9	0.18	258902	262092	274403	277793
0	72	0	447	125	322	355	9	0.18	258902	262092	274403	277793
0	73	0	450	119	331	301	10	0.2	258462	262092	274403	277793
0	74	0	441	100	341	303	10	0.2	258462	262092	274403	277793
0	75	0	445	122	323	285	10	0.2	258462	262092	274403	277793
0	76	0	458	118	340	324	10	0.2	258462	262092	274403	277793
0	77	0	471	119	352	294	10	0.2	258462	262092	274403	277793
0	78	0	453	107	346	310	10	0.2	258462	262092	274403	277793
0	79	0	452	106	346	369	10	0.2	258462	262092	274403	277793
0	80	0	466	115	351	347	10	0.2	258462	262092	274403	277793
0	81	0	457	111	346	352	10	0.2	258462	262092	274403	277793
0	82	0	460	111	349	342	10	0.2	258462	262092	274403	277793
0	83	0	469	123	346	331	10	0.2	258462	262092	274403	277793
0	84	0	480	115	365	377	11	0.22	258462	262092	274403	277793
0	85	0	495	144	351	412	11	0.22	258462	262092	274403	277793
0	86	0	538	159	379	356	11	0.22	258462	262092	274403	277793
0	87	0	563	138	425	420	11	0.22	258462	262092	274403	277793
0	88	0	580	160	420	391	11	0.22	258462	262092	274403	277793
0	89	0	549	122	427	372	11	0.22	258462	262092	274403	277793
0	90	0	551	133	418	405	11	0.22	258462	262092	274403	277793
0	91	0	573	139	434	412	12	0.24	258462	262862	274403	277793
0	92	0	584	137	447	375	12	0.24	258462	262862	274403	277793
0	93	0	582	129	453	379	12	0.24	258462	262862	274403	277793
0	94	0	577	121	456	459	12	0.24	258462	262862	274403	277793
0	95	0	590	158	432	409	12	0.24	258462	262862	274403	277793
0	96	0	583	152	431	423	12	0.24	258462	262862	274403	277793
0	97	0	605	160	445	389	12	0.24	258462	262862	274403	277793
0	98	0	573	126	447	435	12	0.24	258462	262862	274403	277793
0	99	0	576	141	435	432	12	0.24	258462	262862	274403	277793
0	100	0	564	129	435	0	12	0.24	258462	262862	274403	277793
1	0	0	191	96	95	88	1	0.02	258902	259982	274403	275813
1	1	0	176	38	138	157	1	0.02	258902	259982	274403	275813
1	2	0	175	36	139	146	1	0.02	258902	259982	274403	275813
1	3	0	187	36	151	154	2	0.04	258902	259982	274403	276273
1	4	0	198	53	145	145	2	0.04	258902	259982	274403	276273
1	5	0	204	52	152	160	3	0.06	258902	260652	274403	276273
1	6	0	199	49	150	163	3	0.06	258902	260652	274403	276273
1	7	0	196	48	148	159	2	0.04	258902	259982	274403	276273
1	8	0	188	41	147	174	2	0.04	258902	259982	274403	276273
1	9	0	188	50	138	167	2	0.04	258902	259982	274403	276273
1	10	0	199	53	146	186	3	0.06	258902	260652	274403	276273
1	11	0	207	58	149	170	3	0.06	258902	260652	274403	276273
1	12	0	204	53	151	181	3	0.06	258902	260652	274403	276273
1	13	0	211	55	156	161	3	0.06	258902	260652	274403	276273
1	14	0	219	60	159	174	3	0.06	258902	260652	274403	276273
1	15	0	221	55	166	180	3	0.06	258902	260652	274403	276273
1	16	0	230	65	165	212	4	0.08	258902	261112	274403	276713
1	17	0	239	67	172	203	4	0.08	258902	261112	274403	276713
1	18	0	249	66	183	221	4	0.08	258902	261112	274403	276713
1	19	0	257	77	180	233	4	0.08	258902	261112	274403	276713
1	20	0	288	85	203	215	4	0.08	258902	261112	274403	276713
1	21	0	296	72	224	243	4	0.08	258902	261112	274403	276713
1	22	0	317	90	227	278	5	0.1	258902	261112	274403	276713
1	23	0	333	97	236	274	5	0.1	258902	261112	274403	276713
1	24	0	346	100	246	277	5	0.1	258902	261112	274403	276713
1	25	0	348	85	263	266	6	0.12	258902	261112	274403	277183
1	26	0	370	96	274	271	7	0.14	258902	261112	274403	277183
1	27	0	378	86	292	295	7	0.14	258902	261112	274403	277183
1	28	0	393	110	283	251	6	0.12	258902	261112	274403	277183
1	29	0	391	87	304	293	7	0.14	258902	261112	274403	277183
1	30	0	399	92	307	299	7	0.14	258902	261112	274403	277183
1	31	0	386	93	293	312	8	0.16	258902	261112	274403	277793
1	32	0	395	88	307	306	8	0.16	258902	261112	274403	277793
1	33	0	411	107	304	316	8	0.16	258902	261112	274403	277793
1	34	0	411	106	305	265	8	0.16	258902	261112	274403	277793
1	35	0	390	90	300	311	7	0.14	258902	261112	274403	277183
1	36	0	412	113	299	281	7	0.14	258902	261112	274403	277183
1	37	0	405	85	320	335	8	0.16	258902	261112	274403	277793
1	38	0	414	103	311	275	8	0.16	258902	261112	274403	277793
1	39	0	401	89	312	278	8	0.16	258902	261112	274403	277793
1	40	0	417	109	308	293	8	0.16	258902	261112	274403	277793
1	41	0	425	107	318	315	8	0.16	258902	261112	274403	277793
1	42	0	450	114	336	324	8	0.16	258902	261112	274403	277793
1	43	0	447	107	340	284	8	0.16	258902	261112	274403	277793
1	44	0	447	100	347	322	8	0.16	258902	261112	274403	277793
1	45	0	443	102	341	309	8	0.16	258902	261112	274403	277793
1	46	0	443	108	335	272	8	0.16	258902	261112	274403	277793
1	47	0	441	101	340	285	9	0.18	258462	261112	274403	277793
1	48	0	442	108	334	313	9	0.18	258462	261112	274403	277793
1	49	0	482	119	363	282	9	0.18	258462	261112	274403	277793
1	50	0	465	99	366	288	9	0.18	258462	261112	274403	277793
1	51	0	485	124	361	283	9	0.18	258462	261112	274403	277793
1	52	0	476	103	373	302	9	0.18	258462	261112	274403	277793
1	53	0	483	107	376	341	9	0.18	258462	261112	274403	277793
1	54	0	497	118	379	271	9	0.18	258462	261112	274403	277793
1	55	0	471	109	362	356	9	0.18	258462	261112	274403	277793
1	56	0	493	130	363	359	9	0.18	258462	261112	274403	277793
1	57	0	506	135	371	324	9	0.18	258462	261112	274403	277793
1	58	0	509	118	391	356	9	0.18	258462	261112	274403	277793
1	59	0	522	123	399	357	9	0.18	258462	261112	274403	277793
1	60	0	500	117	383	329	9	0.18	258462	261112	274403	277793
1	61	0	523	125	398	324	9	0.18	258462	261112	274403	277793
1	62	0	505	112	393	325	9	0.18	258462	261112	274403	277793
1	63	0	483	91	392	375	9	0.18	258462	261112	274403	277793
1	64	0	495	138	357	344	9	0.18	258462	261112	274403	277793
1	65	0	510	129	381	373	9	0.18	258462	261112	274403	277793
1	66	0	510	122	388	376	9	0.18	258462	261112	274403	277793
1	67	0	518	133	385	338	10	0.2	257982	261112	274403	277793
1	68	0	509	110	399	415	10	0.2	257982	261112	274403	277793
1	69	0	508	143	365	396	10	0.2	257982	261112	274403	277793
1	70	0	537	149	388	383	10	0.2	257982	261112	274403	277793
1	71	0	525	135	390	374	10	0.2	257982	261112	274403	277793
1	72	0	538	137	401	378	10	0.2	257982	261112	274403	277793
1	73	0	519	125	394	336	10	0.2	257982	261112	274403	277793
1	74	0	509	114	395	354	11	0.22	257982	261112	274403	278453
1	75	0	526	141	385	357	11	0.22	257982	261112	274403	278453
1	76	0	519	121	398	337	11	0.22	257982	261112	274403	278453
1	77	0	540	140	400	356	11	0.22	257982	261112	274403	278453
1	78	0	535	134	401	387	11	0.22	257982	261112	274403	278453
1	79	0	543	141	402	357	11	0.22	257982	261112	274403	278453
1	80	0	559	142	417	323	11	0.22	257982	261112	274403	278453
1	81	0	536	113	423	384	11	0.22	257982	261112	274403	278453
1	82	0	542	150	392	291	11	0.22	257982	261112	274403	278453
1	83	0	529	112	417	374	11	0.22	257982	261112	274403	278453
1	84	0	542	132	410	324	11	0.22	257982	261112	274403	278453
1	85	0	532	131	401	357	11	0.22	257982	261112	274403	278453
1	86	0	531	119	412	405	11	0.22	257982	261112	274403	278453
1	87	0	529	135	394	341	10	0.2	257982	261112	274403	278453
1	88	0	511	114	397	357	11	0.22	257982	261112	274403	278453
1	89	0	521	132	389	331	11	0.22	257982	261112	274403	278453
1	90	0	533	136	397	375	11	0.22	257982	261112	274403	278453
1	91	0	531	131	400	396	11	0.22	257982	261112	274403	278453
1	92	0	522	132	390	356	11	0.22	257982	261112	274403	278453
1	93	0	531	129	402	335	11	0.22	257982	261112	274403	278453
1	94	0	536	128	408	358	11	0.22	257982	261112	274403	278453
1	95	0	529	114	415	361	11	0.22	257982	261112	274403	278453
1	96	0	565	132	433	392	11	0.22	257982	261112	274403	278453
1	97	0	566	137	429	395	11	0.22	257982	261112	274403	278453
1	98	0	551	114	437	377	11	0.22	257982	261112	274403	278453
1	99	0	543	127	416	378	11	0.22	257982	261112	274403	278453
1	100	0	540	124	416	0	11	0.22	257982	261112	274403	278453
