Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	191	96	95	81	1	0.02	258902	259982	274403	275813
0	1	0	184	37	147	136	1	0.02	258902	259982	274403	275813
0	2	0	172	37	135	128	1	0.02	258902	259982	274403	275813
0	3	0	165	35	130	136	2	0.04	258902	259982	274403	276273
0	4	0	189	51	138	139	2	0.04	258902	259982	274403	276273
0	5	0	214	63	151	139	2	0.04	258902	259982	274403	276273
0	6	0	198	40	158	143	2	0.04	258902	259982	274403	276273
0	7	0	205	48	157	140	2	0.04	258902	259982	274403	276273
0	8	0	213	46	167	128	3	0.06	258902	261112	274403	276713
0	9	0	202	43	159	158	3	0.06	258902	261112	274403	276713
0	10	0	201	42	159	0	2	0.04	258902	259982	274403	276273
