Rep	Year	RepSeason	x	y	Species	NInd	Nfemales_stage1	Nmales_stage1	NJuvFemales	NJuvMales
0	1	0	0	19	0	12	8	4	20	19
0	1	0	1	19	0	18	7	11	32	23
0	1	0	2	19	0	11	7	4	20	14
0	1	0	3	19	0	11	10	1	23	30
0	1	0	4	19	0	13	5	8	12	9
0	1	0	5	19	0	13	7	6	24	18
0	1	0	6	19	0	17	12	5	39	35
0	1	0	7	19	0	11	3	8	10	8
0	1	0	8	19	0	10	6	4	20	25
0	1	0	9	19	0	18	11	7	29	39
0	1	0	10	19	0	9	4	5	12	12
0	1	0	11	19	0	13	4	9	11	14
0	1	0	12	19	0	11	6	5	17	21
0	1	0	13	19	0	8	6	2	19	21
0	1	0	14	19	0	14	6	8	16	21
0	1	0	15	19	0	7	3	4	7	15
0	1	0	16	19	0	9	4	5	12	10
0	1	0	17	19	0	12	6	6	25	18
0	1	0	18	19	0	7	6	1	18	22
0	1	0	19	19	0	15	9	6	33	28
0	1	0	0	18	0	14	8	6	19	27
0	1	0	1	18	0	17	9	8	28	33
0	1	0	2	18	0	9	4	5	10	8
0	1	0	3	18	0	6	2	4	6	6
0	1	0	4	18	0	15	11	4	27	43
0	1	0	5	18	0	10	5	5	15	24
0	1	0	6	18	0	9	3	6	7	10
0	1	0	7	18	0	10	6	4	20	20
0	1	0	8	18	0	7	7	0	0	0
0	1	0	9	18	0	14	11	3	34	31
0	1	0	10	18	0	6	5	1	11	24
0	1	0	11	18	0	14	9	5	29	24
0	1	0	12	18	0	10	2	8	4	8
0	1	0	13	18	0	8	4	4	9	12
0	1	0	14	18	0	19	12	7	31	38
0	1	0	15	18	0	13	5	8	17	19
0	1	0	16	18	0	21	12	9	41	33
0	1	0	17	18	0	19	9	10	32	24
0	1	0	18	18	0	13	10	3	26	33
0	1	0	19	18	0	10	1	9	4	3
0	1	0	0	17	0	9	4	5	10	12
0	1	0	1	17	0	8	2	6	11	8
